primaryTitle,startYear,averageRating,numVotes,genres,tmdb_id,budget,revenue,release_date,popularity,vote_average,vote_count,flop_score
The Crimean Bridge. Made with Love!,2018,1.1,1253,Romance,556485.0,2495650.0,1066431.0,2018-11-01,0.7116,2.5,12.0,57.26840702822912
Foodfight!,2012,1.3,12387,"Action,Adventure,Animation",116977.0,65000000.0,73706.0,2012-06-15,1.3979,1.9,145.0,99.88660615384616
Dream.net,2009,1.3,10056,"Comedy,Romance,Sport",60242.0,3500000.0,169466.0,2009-04-16,0.1788,2.0,22.0,95.15811428571429
The Cost of Deception,2021,1.5,40835,"Action,Crime,Drama",876671.0,2500000.0,201000.0,2021-10-21,0.4189,3.897,34.0,91.96
The Class 4,2015,1.5,1425,Comedy,49538.0,160000000.0,353624124.0,2011-06-01,0.4488,7.297,12984.0,-121.0150775
Justin Bieber's Believe,2013,1.6,17968,"Documentary,Music",229296.0,5000000.0,10980157.0,2013-12-19,1.3415,7.1,197.0,-119.60314000000001
Justin Bieber: Never Say Never,2011,1.7,76517,"Documentary,Music",54518.0,13000000.0,99036827.0,2011-02-11,1.9818,5.2,415.0,-661.8217461538461
Pledge This!,2006,1.7,19092,Comedy,19213.0,8300000.0,1751460.0,2007-02-08,1.7425,2.787,115.0,78.89807228915663
The Oogieloves in the Big Balloon Adventure,2012,1.7,15648,"Adventure,Family,Fantasy",112937.0,20000000.0,1065907.0,2012-08-29,0.8951,2.394,33.0,94.67046500000001
Too Beautiful,2005,1.7,4720,Comedy,31247.0,2000000.0,903391.0,2005-04-22,0.249,2.2,42.0,54.83045
Snow White,2025,1.8,362604,"Adventure,Family,Fantasy",447273.0,270000000.0,205176583.0,2025-03-12,116.0238,4.3,1017.0,24.00867296296296
Himmatwala,2013,1.8,9524,"Action,Comedy,Drama",180680.0,9500000.0,6800000.0,2013-03-29,0.1574,3.01,50.0,28.421052631578945
Disaster Movie,2008,1.9,96517,"Comedy,Sci-Fi",13805.0,25000000.0,34816824.0,2008-08-29,2.4487,3.2,1060.0,-39.267296
From Justin to Kelly,2003,1.9,27206,"Comedy,Music,Musical",31246.0,12000000.0,4922166.0,2003-06-20,1.0573,3.233,103.0,58.981950000000005
The Ladykiller,2023,1.9,1097,"Crime,Drama,Mystery",1065835.0,5404446.0,456.0,2023-11-03,0.4872,6.0,1.0,99.99156250242855
The Class 3,2014,1.9,1058,Comedy,127585.0,250000000.0,747862775.0,2014-05-15,10.0093,7.528,15602.0,-199.14511
5Gang,2019,2.0,3384,"Action,Comedy",659153.0,1500000.0,1489573.0,2019-12-27,0.146,8.1,106.0,0.6951333333333334
Box Office 3D: The Filmest of Films,2011,2.0,1402,"Comedy,Family",76994.0,5000000.0,2777000.0,2011-09-09,1.0362,2.861,244.0,44.46
Adventures of Aladdin,2019,2.0,1332,"Adventure,Family,Fantasy",459616.0,18900000.0,19000000.0,2018-10-03,1.905,4.834,391.0,-0.5291005291005291
House of the Dead,2003,2.1,39337,"Action,Adventure,Horror",11059.0,12000000.0,13818181.0,2003-04-11,1.2984,3.1,399.0,-15.151508333333332
United Passions,2014,2.1,4491,"Drama,History,Sport",271331.0,30000000.0,168832.0,2014-06-19,1.1578,3.316,57.0,99.43722666666666
Baaghi 3,2020,2.2,14911,Action,594669.0,7952450.0,18473570.0,2020-03-06,2.0887,6.4,120.0,-132.300360266333
Crossover,2006,2.2,9526,"Action,Sport",14351.0,5800000.0,7000000.0,2006-09-01,1.1303,3.5,37.0,-20.689655172413794
Leonard Part 6,1987,2.2,8818,"Action,Comedy,Sci-Fi",24828.0,24000000.0,4600000.0,1987-12-18,1.267,2.743,68.0,80.83333333333333
Son of the Mask,2005,2.3,61084,"Comedy,Family,Fantasy",10214.0,84000000.0,59918422.0,2005-02-11,5.2132,4.2,1866.0,28.668545238095238
